dilemma_text,gt_severity_score,gt_justification,ai_severity_score,ai_justification
"You've received an invitation to a casual social gathering from an acquaintance. You're quite tired from a long week and ideally wanted a quiet evening at home to recharge. However, you know the host is relatively new to the city and is genuinely trying to build a social circle, and they specifically mentioned they'd really appreciate your presence. Attending means sacrificing your much-needed rest and preferred quiet time, but declining feels slightly impolite and might cause them a mild, fleeting disappointment. You're weighing personal comfort against a minor social courtesy.",1,"The dilemma involves a choice between personal comfort and a minor social courtesy. The consequences of either decision are very low: a slight inconvenience or minor, transient disappointment. There are no significant impacts on well-being, integrity, or justice, fitting the definition of an everyday social courtesy or minor inconvenience.",1,"The dilemma involves a minor conflict between personal comfort and a small social courtesy, with no significant harm or moral principles at stake."
"You discover a close colleague, who is struggling financially, has slightly modified their expense report adding an extra $50 for a legitimate work dinner, but beyond the strict company limit. Your company has a zero-tolerance policy for expense fraud, which you've always upheld as a matter of personal integrity. Reporting them could lead to their termination, jeopardizing their family's financial stability. Not reporting them means compromising your own ethical standards and potentially facing repercussions if discovered, but protects your friend.",2,"This dilemma squarely fits the definition of 'conflicts of personal integrity vs. loyalty to friends/colleagues'. The choice involves upholding a personal ethical standard (zero-tolerance for fraud) against protecting a colleague's job and financial well-being. While the potential consequences for the colleague are significant (job loss), and for the decision-maker, a compromise of integrity or potential professional risk, it doesn't involve direct physical harm, core societal values, or catastrophic public outcomes, placing it firmly in the low-moderate severity range.",4,"The dilemma forces a choice between upholding strict company policy and personal integrity, which could lead to a colleague's termination and severe financial hardship, versus compromising ethical standards and risking personal repercussions to protect them."
"You are a therapist, and a new client confides that they have been anonymously spreading damaging rumors about a mutual acquaintance, which has severely impacted the acquaintance's reputation and job prospects. The client expresses deep remorse but is terrified of being exposed. Your professional code of ethics mandates strict confidentiality, yet you feel a powerful moral imperative to protect the acquaintance, who you know is suffering, from continued harm and to ensure some form of justice. Breaching confidentiality could destroy your career and the client's trust, but maintaining it leaves the acquaintance vulnerable.",3,"The dilemma presents a significant conflict: professional ethical duty (confidentiality) versus a strong moral obligation to prevent harm and ensure justice for a third party whose well-being (reputation, job prospects) is directly and severely impacted. The choice has substantial consequences for multiple individuals: the acquaintance suffers, the client faces exposure and potential ruin, and the therapist risks their career and ethical standing. This aligns with 'Significant conflict with direct impact on another person's well-being' for a score of 3, as it goes beyond mere integrity vs. loyalty but isn't life-and-death.",5,"This is a severe ethical crisis as it pits a foundational professional duty of strict confidentiality against a powerful moral imperative to prevent severe, ongoing harm to an innocent third party, with high stakes for the client, the acquaintance, and the therapist's career."
"You uncover undeniable evidence that your adult child, whom you love unconditionally and have always believed in, is the mastermind behind a sophisticated online fraud scheme that has stolen the life savings of dozens of elderly individuals. Reporting them to the authorities would lead to their arrest, a lengthy prison sentence, and a ruined future, shattering your family. However, staying silent means countless victims will never see justice, and your child might continue their predatory actions, violating your deep-seated belief in societal fairness and integrity. You are torn between protecting your child and upholding fundamental justice.",4,"This dilemma directly pits a core societal value (justice for numerous vulnerable victims and preventing further predatory actions) against the powerful personal interest of protecting a loved one (the decision-maker's own child from severe legal consequences and a ruined life). The potential consequences are profoundly impactful for many parties, aligning perfectly with the definition of a 'High' severity score of 4, as it's not a life-and-death situation but involves significant moral weight and personal sacrifice.",5,"The dilemma forces an agonizing choice between protecting a beloved child from severe legal consequences for a major crime and ensuring justice for dozens of vulnerable victims, with profound and devastating impacts on all involved parties."
"You are an emergency responder at a collapsed building. You've located two survivors: your own child, critically pinned under a heavy beam, and a renowned surgeon who, if saved, could lead the life-saving efforts for dozens of other victims still trapped. You have equipment and time to save *only one* before another section of the building collapses, killing both. Saving your child means the surgeon dies, potentially costing many others their lives. Saving the surgeon means sacrificing your child, a choice with unimaginable personal grief.",5,"This dilemma presents a direct life-and-death situation with irreversible, catastrophic consequences for multiple individuals. The decision-maker faces an agonizing choice between saving their own child (a powerful personal interest) and saving a person whose expertise could directly lead to saving many more lives (a utilitarian imperative). Regardless of the choice, a life is lost, and the chosen path carries immense moral weight, profound personal sacrifice, and potentially widespread impact, fitting the 'Very High' severity definition perfectly.",5,"This dilemma presents an impossible choice between saving one's own child and saving a person who could save many others, with immediate life-or-death consequences and immense personal and societal stakes."
"Your well-meaning aunt gives you a gaudy, handmade sweater for your birthday. You know it took her hours to make, and she's beaming with pride. You absolutely hate it and will never wear it. Do you express sincere, overwhelming gratitude and promise to wear it, knowing you'll likely never do so, or do you subtly hint that it's not quite your style, potentially causing her mild disappointment? The choice is between a small white lie for social harmony or minor honesty.",1,"The dilemma involves a choice between a small social white lie to maintain harmony and avoid mild disappointment for a loved one, or a minor act of honesty that could cause slight, transient hurt feelings. There are no significant impacts on well-being, integrity, or justice, fitting the definition of an everyday social courtesy or minor inconvenience.",1,"This is a very low-stakes social dilemma involving a common white lie with minimal potential for harm or negative consequences, making it a minor ethical issue."
"Your close friend, who frequently procrastinates, asks for your completed take-home exam to 'check their understanding' because they barely started theirs, due in a few hours. You know sharing completed work is strictly against the university's academic integrity policy, and you pride yourself on your honest efforts. Refusing might severely strain your friendship and cause them to fail the exam. Sharing it compromises your personal integrity and risks minor disciplinary action for both of you if discovered, but protects your friend from a significant academic setback.",2,"This dilemma squarely fits the definition of 'conflicts of personal integrity vs. loyalty to friends/colleagues'. The choice involves upholding personal ethical standards (academic integrity, honesty) against protecting a friend from a significant academic setback. While the potential consequences for the friend (failing grade) are serious, and for the decision-maker, a compromise of integrity or potential minor academic penalties, it does not involve direct physical harm, core societal values, or catastrophic public outcomes, placing it firmly in the low-moderate severity range.",4,"The dilemma forces a direct conflict between personal integrity and a close friendship, with potential severe academic consequences for one party and disciplinary action for both if discovered, compromising core values and relationships."
"You are an investigative journalist covering local community efforts. You uncover that a well-respected, highly effective non-profit director, celebrated for revitalizing a struggling neighborhood, fabricated a key academic credential on her resume a decade ago. This fabrication, while unrelated to her current exemplary work, is a clear ethical breach. Exposing her would destroy her career, public trust, and likely her mental health, causing significant personal suffering. However, you believe in journalistic integrity and transparency. Remaining silent compromises your professional duty and lets a lie stand, but protects a truly beneficial leader from devastating ruin.",3,"This dilemma presents a significant conflict between professional ethical duty (journalistic integrity and transparency) and the direct, severe impact on another person's well-being (career destruction, public shaming, mental health distress). The individual in question is a respected community leader, and the revelation would have profound, negative consequences for her, but not immediate widespread societal collapse or loss of life. This aligns with 'Significant conflict with direct impact on another person's well-being', which is the definition for a moderate severity score of 3.",5,"The dilemma presents a profound conflict between journalistic duty to truth and the severe, potentially devastating, consequences for an effective leader and her community, with no clear morally unambiguous path."
"You are a junior executive at your family's beloved local factory, which employs several of your relatives and has been a cornerstone of the community for generations. You discover that, to avoid a costly infrastructure upgrade, management (including your parents and uncle) has been discreetly exceeding environmental waste limits for years. This practice contributes to localized pollution linked to respiratory issues in the nearby, less affluent community. Reporting it anonymously would trigger an investigation, likely leading to massive fines, closure, and the ruin of your family's legacy and financial stability. Remaining silent protects your family but compromises public health and your own moral integrity.",4,"This dilemma squarely pits a core societal value (public health and environmental protection for a vulnerable community) against a powerful personal interest (protecting one's family, their business, their financial stability, and their legacy). The consequences of reporting are devastating for the decision-maker's family, while remaining silent allows ongoing, significant harm to others. This aligns perfectly with the definition of a 'High' severity score of 4, as it involves substantial moral weight and personal sacrifice, without being a direct, immediate life-and-death situation for many individuals that would elevate it to a 5.",5,"This dilemma involves deliberate, long-term environmental law violations causing direct public health harm to a vulnerable community, while management actively conceals the practice to avoid financial costs."
"You are the captain of a small rescue boat during an unprecedented flood. You navigate through treacherous waters and discover two groups in dire need: your own child, critically injured and barely clinging to a rapidly submerging rooftop, and five strangers – elderly individuals – trapped in a house whose foundation is visibly failing. Your boat has capacity and fuel for only one trip to save either your child or the group of five before time runs out. Saving your child means the five elderly people will inevitably drown. Saving the five elderly means your child will certainly perish. The choice must be made instantly.",5,"This dilemma presents an agonizing, immediate life-and-death choice with irreversible, catastrophic consequences. The decision-maker must choose between saving their own critically endangered child (a powerful personal interest) and saving five unrelated elderly individuals, knowing that choosing one directly results in the certain death of the other. The profound personal sacrifice and immense moral weight of intentionally allowing multiple lives to perish (or one's own child) perfectly align with the 'Very High' severity definition for a score of 5.",5,"This dilemma presents an immediate, unavoidable, life-or-death choice between saving one's own child and five strangers, with no positive outcome possible and profound personal sacrifice regardless of the decision, making it an extreme ethical crisis."
"You're at a networking event when an acquaintance you vaguely remember from a single previous encounter approaches you, greeting you warmly and clearly expecting you to recall them and specific details. However, you've completely blanked on their name and the context of your last meeting. Do you politely feign recognition, engaging in the conversation with vague pleasantries to avoid awkwardness, or do you honestly admit your memory lapse, potentially causing them a moment of mild embarrassment but being truthful? It's a choice between a small social white lie and minor honesty.",1,"The dilemma involves a choice between a minor social deception to maintain politeness and avoid awkwardness, or a truthful admission that might cause slight, transient embarrassment for another person. Neither choice has significant impacts on well-being, integrity (beyond a minor social fib), or justice. This perfectly aligns with the definition of an everyday social courtesy or minor inconvenience.",1,"The dilemma involves a common social interaction where the choice is between a minor white lie to avoid awkwardness and minor honesty that might cause mild embarrassment, with no significant harm or benefit at stake."
"Your close friend, who is struggling to find stable employment, asks you to provide a strong professional reference for a competitive role at your company. You want to help them, but you honestly believe their work ethic isn't suited for this specific position, and they lack several crucial qualifications. Providing a glowing, dishonest reference could damage your own professional credibility if they underperform. However, refusing to help would deeply disappoint your friend, potentially straining your friendship during a difficult period for them.",2,"This dilemma perfectly aligns with the definition of a 'severity_score' of 2: 'Conflicts of personal integrity vs. loyalty to friends/colleagues.' The decision-maker must weigh their loyalty to a struggling friend against their professional integrity and credibility. The potential consequences involve damaging a friendship or compromising one's professional standing, but do not extend to significant financial harm to others, legal repercussions, or widespread public impact, thus placing it in the low-moderate range.",4,"The dilemma presents a direct conflict between professional integrity and personal loyalty, with significant potential negative consequences for one's reputation, the company, or a close friendship."
"You are a member of a hiring committee for a highly competitive position. The top candidate, who is exceptionally qualified and expressed profound personal need for stable employment, has an expunged minor criminal conviction from their youth that was overlooked during the initial background check but came to your attention through an unofficial channel. Company policy dictates that all criminal records, even expunged, are grounds for immediate disqualification. Revealing this could cost them a life-changing opportunity and significantly impact their future well-being. Remaining silent violates strict company policy and risks your professional standing if discovered, but secures them a vital chance.",3,"This dilemma presents a significant conflict where upholding a strict company policy (professional duty and integrity) directly and severely impacts another person's well-being (losing a life-changing job opportunity, profoundly affecting their future stability). It is more than a low-moderate conflict of integrity vs. loyalty, as the consequences for the candidate are substantial. However, it does not involve immediate life-and-death choices or widespread societal harm, placing it firmly in the 'Moderate' category of a score of 3.",4,"The dilemma involves a direct conflict between strict company policy and the profound well-being of an individual, carrying significant personal and professional risks for the decision-maker, and questioning the fairness of the policy itself."
